,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,utilities,land_slope,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,saleprice
10,1044,527451290,160,1,21.0,1680,4,2,4,3,6,5,1971,1971,232.0,3,3,3,3,1,5,387.0,1,0.0,96.0,483.0,3,2,4,483,504,0,987,0.0,0.0,1,1,2,1,3,4,4,0,1,1971.0,1,1.0,264.0,1,3,2,0,0,0,0,0,0,1,1,0,7,2008,85400
11,2752,906380150,20,3,64.0,7488,3,2,4,3,7,5,2005,2005,0.0,4,3,4,3,3,6,393.0,1,0.0,815.0,1208.0,5,2,4,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,4,0,1,2005.0,2,2.0,632.0,2,3,2,105,58,0,0,0,0,1,1,0,2,2006,183600
12,807,906226060,70,3,120.0,26400,4,3,4,3,5,7,1880,2007,0.0,4,3,0,0,1,1,0.0,1,0.0,0.0,0.0,5,2,4,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,2,1,3,1900.0,1,2.0,576.0,1,3,1,0,0,0,0,0,0,1,1,0,6,2009,131000
14,1480,907418040,20,3,74.0,9627,4,2,4,3,7,5,2007,2007,0.0,4,3,4,3,3,6,24.0,1,0.0,1327.0,1351.0,5,2,4,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,4,0,1,2007.0,2,2.0,610.0,2,3,2,0,50,0,0,0,0,1,1,0,6,2008,193000
15,324,923202105,20,3,93.0,10114,4,2,4,3,5,5,2004,2005,0.0,3,3,5,3,3,1,0.0,1,0.0,1430.0,1430.0,5,2,4,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,4,0,1,2004.0,2,2.0,624.0,2,3,2,0,0,0,0,0,0,1,1,0,3,2010,173500
16,1311,902301140,70,1,34.0,4571,4,2,4,3,5,5,1916,1950,0.0,3,3,3,3,1,1,0.0,1,0.0,624.0,624.0,2,0,4,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,4,0,1,1916.0,1,3.0,513.0,1,2,2,0,0,96,0,0,0,1,1,0,5,2008,98000
17,770,905101490,20,3,80.0,8816,4,2,4,3,5,6,1963,1963,0.0,3,3,3,3,1,3,651.0,1,0.0,470.0,1121.0,3,2,4,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,4,0,1,1963.0,1,2.0,480.0,1,3,2,0,80,0,0,0,0,1,3,0,6,2009,139000
18,2063,905107140,20,3,71.0,8197,4,2,4,3,6,5,1977,1977,148.0,3,3,3,3,1,1,0.0,1,0.0,660.0,660.0,5,2,4,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,4,1,3,1977.0,2,2.0,528.0,2,3,2,138,0,0,0,0,0,1,3,0,4,2007,143500
20,2062,905106150,20,3,109.0,8724,4,2,4,3,5,5,1968,1968,0.0,3,3,4,3,1,4,492.0,1,0.0,402.0,894.0,4,2,4,894,0,0,894,0.0,0.0,1,0,3,1,3,5,4,1,1,1968.0,3,2.0,450.0,3,3,2,0,0,0,0,0,0,1,1,0,5,2007,129000
21,351,527131030,120,3,40.0,5664,3,2,4,3,8,5,2000,2000,0.0,4,3,4,3,1,6,1158.0,1,0.0,343.0,1501.0,5,2,4,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,4,1,5,2000.0,3,2.0,499.0,3,3,2,212,59,0,0,0,0,1,1,0,10,2009,278000
22,2393,528142010,60,3,103.0,12867,3,2,4,3,8,5,2005,2006,0.0,4,3,5,3,3,1,0.0,1,0.0,1209.0,1209.0,5,2,4,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,4,1,4,2005.0,3,2.0,575.0,3,3,2,243,142,0,0,0,0,1,1,0,7,2006,344133
23,12,527165230,20,3,69.0,7980,3,2,4,3,6,7,1992,2007,0.0,3,4,4,3,1,5,935.0,1,0.0,233.0,1168.0,5,2,4,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,4,0,1,1992.0,3,2.0,420.0,3,3,2,483,21,0,0,0,0,1,4,500,3,2010,185000
24,2339,527250040,190,3,100.0,34650,4,3,4,3,5,5,1955,1955,0.0,3,3,3,3,2,3,1056.0,1,0.0,0.0,1056.0,3,0,4,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,4,0,1,1955.0,3,2.0,572.0,3,3,2,264,0,0,0,0,0,1,1,0,1,2006,145000
25,624,535104120,20,3,92.0,10573,3,2,4,3,6,6,1961,1961,3.0,3,3,3,3,1,3,1312.0,1,0.0,141.0,1453.0,5,2,4,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,4,1,3,1961.0,2,2.0,530.0,2,3,2,0,49,0,0,288,0,1,4,0,4,2009,187500
26,86,532376160,20,3,65.0,8450,4,2,4,3,5,8,1965,2009,0.0,3,4,3,3,1,6,553.0,4,117.0,224.0,894.0,5,2,4,894,0,0,894,1.0,0.0,1,0,3,1,3,5,4,1,4,1973.0,1,1.0,336.0,1,3,2,416,144,0,0,0,0,1,3,0,4,2010,138500
27,1534,909277040,50,3,69.0,11700,3,4,4,2,5,6,1937,1995,0.0,3,3,3,3,1,4,606.0,1,0.0,336.0,942.0,5,2,4,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,2,1,4,1937.0,1,1.0,240.0,1,3,2,0,40,0,0,0,0,1,1,0,7,2008,198000
29,1957,535450190,50,3,60.0,8064,4,2,4,3,5,7,1949,2006,0.0,3,4,3,3,2,1,0.0,1,0.0,672.0,672.0,5,2,4,672,252,0,924,0.0,0.0,1,0,3,1,3,6,4,1,1,2003.0,1,2.0,576.0,1,3,2,0,0,0,0,0,0,1,3,2000,7,2007,122900
30,380,527355150,20,3,80.0,9600,4,2,4,3,8,5,1981,1981,0.0,4,3,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,3,2,4,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,4,1,4,1981.0,3,2.0,542.0,3,3,2,474,120,0,0,0,0,1,3,0,7,2009,278000
31,2860,909276010,70,3,69.0,11435,3,4,4,2,8,7,1929,1950,0.0,3,3,4,3,1,1,0.0,1,0.0,792.0,792.0,2,2,4,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,4,2,4,1931.0,1,2.0,400.0,1,3,2,0,0,0,0,0,0,1,1,0,6,2006,230000
32,2517,533250130,120,3,30.0,9549,3,2,4,3,8,5,1995,1996,0.0,4,4,4,4,3,2,437.0,6,1057.0,0.0,1494.0,5,2,4,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,4,1,4,1995.0,3,2.0,481.0,3,3,2,0,30,0,0,216,0,1,1,0,4,2006,270000
33,1933,535302070,20,3,60.0,10950,4,2,4,3,6,6,1952,1952,0.0,3,3,3,3,1,5,441.0,1,0.0,507.0,948.0,3,2,4,948,0,0,948,0.0,0.0,1,0,2,1,3,5,4,0,1,1952.0,1,2.0,410.0,1,3,0,0,48,0,0,0,0,1,1,0,4,2007,125000
34,820,906340110,20,3,79.0,10637,4,2,4,3,8,5,2007,2008,336.0,4,3,5,3,4,6,1288.0,1,0.0,417.0,1705.0,5,2,4,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,4,1,4,2007.0,2,3.0,826.0,2,3,2,208,44,0,0,0,0,1,1,0,9,2009,297000
35,675,535426150,20,3,80.0,9000,3,4,4,2,6,6,1958,1958,82.0,3,3,4,3,4,1,0.0,1,0.0,160.0,160.0,2,2,4,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,4,1,4,1958.0,2,1.0,384.0,2,3,2,0,28,64,0,0,0,1,1,0,4,2009,113500
36,2910,923225240,160,1,41.0,2665,4,2,4,3,5,6,1977,1977,0.0,3,3,3,3,1,5,548.0,3,173.0,36.0,757.0,5,2,4,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,4,1,3,1977.0,2,1.0,336.0,2,3,2,104,26,0,0,0,0,1,1,0,7,2006,127000
37,21,527358140,20,3,105.0,11751,3,2,4,3,6,6,1977,1977,480.0,3,3,4,3,1,4,705.0,1,0.0,1139.0,1844.0,5,2,4,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,4,1,3,1977.0,2,2.0,546.0,2,3,2,0,122,0,0,0,0,1,3,0,1,2010,190000
38,1873,534177210,20,3,80.0,9600,4,2,4,3,7,6,1973,1973,320.0,3,3,3,3,1,5,916.0,1,0.0,326.0,1242.0,2,2,4,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,4,1,3,1973.0,1,2.0,528.0,1,3,2,0,0,0,0,0,0,1,1,0,9,2007,175500
39,2125,907135050,20,3,60.0,8428,2,2,4,3,5,7,1994,1994,0.0,3,4,4,4,1,6,420.0,1,0.0,570.0,990.0,5,2,4,990,0,0,990,1.0,0.0,1,0,3,1,3,5,4,0,1,1995.0,1,1.0,384.0,1,3,2,256,0,0,0,0,0,1,1,0,7,2007,146000
40,1489,908102260,20,3,75.0,9937,4,2,4,3,5,6,1965,1965,0.0,4,3,3,3,1,4,830.0,2,290.0,136.0,1256.0,4,2,4,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,4,0,1,1965.0,3,1.0,276.0,3,3,2,736,68,0,0,0,0,1,1,0,6,2008,147500
41,2383,528110050,20,3,107.0,13891,4,2,4,3,10,5,2006,2006,0.0,5,3,5,4,4,6,1386.0,1,0.0,690.0,2076.0,5,2,4,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,4,1,4,2006.0,3,3.0,850.0,3,3,2,216,229,0,0,0,0,1,1,0,9,2006,465000
42,983,923275040,85,3,69.0,9101,3,2,4,3,5,6,1978,1978,104.0,3,4,4,3,3,6,1097.0,1,0.0,0.0,1097.0,5,2,4,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,4,1,3,1978.0,3,2.0,602.0,3,3,2,303,30,0,0,0,0,1,1,0,7,2009,165500
43,1325,902406090,50,1,81.0,12150,4,2,4,3,5,5,1954,1954,335.0,3,3,3,3,1,1,0.0,1,0.0,1050.0,1050.0,5,0,2,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,4,0,1,1954.0,1,1.0,352.0,1,3,2,0,0,0,0,0,0,1,1,0,11,2008,131500
44,1378,905102170,20,3,70.0,11200,4,2,4,3,5,5,1965,1965,0.0,3,3,3,3,1,3,906.0,1,0.0,134.0,1040.0,5,2,4,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,4,0,1,1965.0,1,1.0,384.0,1,3,2,0,0,0,0,0,0,1,1,0,2,2008,129500
45,1537,909281110,70,3,100.0,9670,3,4,4,2,8,6,1935,1950,40.0,3,3,3,2,1,2,210.0,1,0.0,398.0,608.0,3,2,4,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,4,2,4,1935.0,3,2.0,786.0,3,3,2,0,0,207,0,0,0,1,1,0,6,2008,257076
46,905,909101140,50,3,60.0,10998,4,2,4,3,5,5,1941,1960,0.0,3,3,3,3,1,2,408.0,4,420.0,156.0,984.0,5,2,4,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,2,0,1,1977.0,1,2.0,660.0,1,3,2,0,68,0,0,0,0,1,1,0,7,2009,117000
47,1532,909275050,70,3,60.0,7200,4,4,4,2,7,6,1931,2000,0.0,3,2,4,3,1,1,0.0,1,0.0,776.0,776.0,3,2,4,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,4,1,4,1931.0,2,1.0,270.0,2,3,1,0,0,112,0,0,0,1,3,0,2,2008,149000
48,132,534475100,20,3,80.0,9920,4,2,4,3,5,5,1954,1954,110.0,3,3,3,3,1,3,354.0,2,290.0,412.0,1056.0,3,2,4,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,4,0,1,1954.0,2,1.0,280.0,2,3,2,0,0,164,0,0,0,1,3,0,2,2010,128000
49,1078,528188090,160,3,36.0,2448,4,2,4,3,7,5,2003,2004,106.0,4,3,4,3,1,1,0.0,1,0.0,764.0,764.0,5,2,4,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,4,0,1,2003.0,2,2.0,474.0,2,3,2,0,27,0,0,0,0,1,1,0,10,2008,155000
51,912,909250220,50,3,65.0,7804,4,2,4,3,4,3,1928,1950,0.0,3,3,3,3,1,4,622.0,1,0.0,500.0,1122.0,3,2,4,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,2,2,3,1981.0,1,2.0,576.0,1,3,2,431,44,0,0,0,0,1,3,0,12,2009,135000
52,2351,527356020,60,3,80.0,16692,3,2,4,3,7,5,1978,1978,184.0,3,3,4,3,1,4,790.0,2,469.0,133.0,1392.0,3,2,4,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,4,2,3,1978.0,2,2.0,564.0,2,3,2,0,112,0,0,440,519,2,3,2000,7,2006,250000
53,330,923226250,160,1,21.0,1476,4,2,4,3,4,7,1970,1970,0.0,3,3,3,3,1,6,176.0,1,0.0,370.0,546.0,5,2,4,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,4,0,1,1978.7077955601449,0,0.0,0.0,0,0,2,200,26,0,0,0,0,1,1,0,3,2010,76000
54,2586,535305120,20,3,75.0,10170,4,2,4,3,6,6,1951,1951,522.0,3,3,3,3,1,1,0.0,1,0.0,216.0,216.0,3,2,4,1575,0,0,1575,0.0,0.0,1,1,2,1,4,5,4,1,4,1951.0,1,2.0,400.0,1,3,2,0,0,0,0,0,0,1,1,0,6,2006,155000
55,224,905106140,60,3,80.0,9364,4,2,4,3,6,7,1969,1969,143.0,3,3,3,3,1,5,371.0,1,0.0,292.0,663.0,3,2,4,663,689,0,1352,0.0,0.0,1,1,4,1,3,7,4,0,1,1969.0,3,1.0,299.0,3,3,2,379,36,0,0,0,0,1,3,0,3,2010,158000
57,2565,534479300,20,3,82.0,9888,4,2,4,3,5,6,1954,1975,0.0,3,4,3,3,1,4,486.0,1,0.0,450.0,936.0,3,2,3,936,0,0,936,0.0,0.0,1,0,2,1,3,5,4,0,1,1954.0,1,1.0,240.0,1,3,2,0,0,160,0,0,0,1,3,0,3,2006,121000
58,1934,535304170,20,3,68.0,7942,4,2,4,3,6,7,1953,1953,0.0,3,3,3,3,1,3,85.0,5,955.0,0.0,1040.0,3,2,2,1040,0,0,1040,0.0,1.0,1,0,3,1,3,6,4,0,1,1953.0,3,1.0,293.0,3,3,2,0,0,0,0,0,0,1,3,0,6,2007,136000
59,997,527107010,60,3,69.0,15038,2,2,4,3,6,5,1996,1996,0.0,3,3,4,3,1,3,138.0,1,0.0,778.0,916.0,4,2,4,916,720,0,1636,0.0,0.0,2,1,3,1,3,7,4,1,3,1996.0,3,2.0,386.0,3,3,2,168,84,0,0,0,0,1,1,0,11,2008,173000
60,64,528382020,60,3,92.0,11764,3,2,4,3,8,7,1999,2007,348.0,4,3,4,3,1,6,524.0,1,0.0,628.0,1152.0,5,2,4,1164,1106,0,2270,0.0,0.0,2,1,4,1,4,9,4,1,4,1999.0,3,3.0,671.0,3,3,2,132,57,0,0,0,0,1,1,0,4,2010,290000
62,230,905109170,20,3,69.0,20062,3,1,4,2,7,7,1977,2001,0.0,4,4,4,3,4,5,1092.0,1,0.0,328.0,1420.0,4,2,4,1483,0,0,1483,1.0,0.0,1,1,1,1,3,4,4,2,3,1977.0,2,2.0,690.0,2,3,2,496,0,0,0,0,0,1,1,0,4,2010,270000
63,1295,902109160,50,1,81.0,7308,4,2,4,3,5,5,1920,1950,0.0,2,2,3,3,1,3,360.0,1,0.0,576.0,936.0,4,0,3,960,780,0,1740,0.0,0.0,1,0,2,1,5,6,4,1,4,1920.0,1,1.0,225.0,1,2,0,0,0,236,0,0,0,1,1,0,6,2008,122250
64,638,535178120,20,3,70.0,8750,4,2,4,3,5,5,1955,1955,0.0,3,3,3,3,1,3,172.0,2,483.0,727.0,1382.0,4,2,3,1382,0,0,1382,0.0,1.0,1,0,3,1,4,6,4,0,1,1955.0,1,1.0,350.0,1,3,2,280,0,0,0,0,0,1,2,0,7,2009,153000
65,2278,923202134,20,3,70.0,8402,4,2,4,3,5,5,2007,2007,0.0,3,3,4,3,1,5,206.0,1,0.0,914.0,1120.0,5,2,4,1120,0,0,1120,0.0,0.0,1,0,3,1,3,6,4,0,1,1978.7077955601449,0,0.0,0.0,0,0,2,0,30,0,0,0,0,1,1,0,12,2007,147000
66,2202,909252150,70,3,63.0,4000,4,2,4,3,7,8,1930,1995,0.0,3,3,4,3,1,6,246.0,1,0.0,285.0,531.0,3,2,4,567,531,0,1098,1.0,0.0,1,0,2,1,3,5,4,1,4,1930.0,1,1.0,216.0,1,3,2,0,0,0,0,0,0,1,3,0,6,2007,148500
67,2833,908188150,160,1,32.0,3363,4,2,4,3,7,5,2004,2004,117.0,4,3,4,3,1,1,0.0,1,0.0,976.0,976.0,5,2,4,976,732,0,1708,0.0,0.0,2,0,3,1,4,7,1,0,1,2004.0,1,2.0,380.0,1,3,2,0,40,0,0,0,0,1,1,0,4,2006,130000
68,1707,528150040,20,3,94.0,13615,3,4,4,2,9,5,2006,2006,510.0,5,3,5,3,4,1,0.0,1,0.0,1802.0,1802.0,5,2,4,1802,0,0,1802,0.0,0.0,2,1,3,1,5,7,4,1,4,2006.0,3,3.0,843.0,3,3,2,158,105,0,0,0,0,1,1,0,6,2007,372000
69,2428,528228565,120,3,43.0,3013,4,2,4,3,7,5,2005,2005,145.0,4,3,4,3,4,6,16.0,1,0.0,1346.0,1362.0,5,2,4,1506,0,0,1506,0.0,0.0,2,0,2,1,4,6,4,1,4,2005.0,3,2.0,440.0,3,3,2,142,20,0,0,0,0,1,1,0,4,2006,213490
70,242,905453080,20,3,44.0,17485,2,2,4,3,7,5,2009,2010,96.0,4,3,4,3,4,6,1346.0,1,0.0,162.0,1508.0,5,2,4,1508,0,0,1508,1.0,0.0,1,0,1,1,4,5,4,2,3,2009.0,2,2.0,572.0,2,3,2,0,0,0,0,0,0,1,1,0,1,2010,308030
71,1564,914453045,20,3,69.0,23730,2,2,4,3,7,5,1996,1997,668.0,4,3,5,3,2,6,700.0,1,0.0,1140.0,1840.0,5,2,4,2032,0,0,2032,1.0,0.0,3,0,3,1,4,7,4,0,1,1996.0,3,3.0,786.0,3,3,2,0,46,192,0,0,0,1,1,0,9,2008,300000
72,2613,535403150,20,3,79.0,8910,4,2,4,3,6,6,1959,1959,0.0,3,3,3,3,2,5,655.0,1,0.0,0.0,655.0,5,2,4,1194,0,0,1194,0.0,1.0,1,0,3,1,3,6,4,1,2,1954.0,3,2.0,539.0,3,3,2,0,0,192,0,0,0,1,1,0,7,2006,159500
73,2832,908188140,160,1,24.0,2522,4,2,4,3,7,5,2004,2004,50.0,4,3,4,3,1,1,0.0,1,0.0,970.0,970.0,5,2,4,970,739,0,1709,0.0,0.0,2,0,3,1,4,7,1,0,1,2004.0,1,2.0,380.0,1,3,2,0,40,0,0,0,0,1,1,0,4,2006,137500
74,2459,528439030,20,3,73.0,8688,4,2,4,3,7,5,2005,2005,228.0,4,3,4,3,3,1,0.0,1,0.0,1616.0,1616.0,5,2,4,1616,0,0,1616,0.0,0.0,2,0,3,1,4,7,4,0,1,2005.0,2,3.0,834.0,2,3,2,208,59,0,0,0,0,1,1,0,4,2006,232000
75,1360,903452025,30,1,69.0,6291,3,2,4,3,6,6,1930,1950,0.0,4,4,3,3,1,1,0.0,1,0.0,768.0,768.0,3,2,4,768,0,0,768,0.0,0.0,1,0,1,1,3,4,4,0,1,1930.0,1,2.0,440.0,1,3,0,0,0,84,0,0,0,1,1,0,7,2008,93850
76,2723,905200380,30,3,69.0,17529,4,2,4,3,5,5,1924,1950,65.0,3,3,3,3,1,1,0.0,1,0.0,872.0,872.0,2,0,2,872,0,0,872,0.0,0.0,1,0,2,1,2,5,2,1,4,1924.0,1,1.0,322.0,1,2,0,0,0,116,0,0,0,1,1,0,4,2006,105000
77,1350,903235100,30,1,60.0,6324,3,2,4,3,4,6,1927,1950,0.0,3,3,3,3,1,1,0.0,1,0.0,520.0,520.0,2,0,4,520,0,0,520,0.0,0.0,1,0,1,1,2,4,4,0,1,1920.0,1,1.0,240.0,1,3,2,49,0,87,0,0,0,1,1,0,5,2008,68500
78,136,535106190,90,3,80.0,11600,4,2,4,3,5,5,1960,1960,361.0,3,3,3,3,1,3,443.0,1,0.0,662.0,1105.0,3,2,3,1105,1169,0,2274,0.0,0.0,2,0,5,2,3,12,4,0,1,1960.0,1,2.0,480.0,1,3,2,0,0,0,0,0,0,1,1,0,1,2010,154300
79,2235,910201050,50,1,50.0,7288,4,2,4,3,5,7,1925,2003,0.0,4,4,3,1,1,1,0.0,1,0.0,936.0,936.0,5,2,4,936,665,0,1601,0.0,0.0,2,0,3,1,3,6,4,0,1,1978.7077955601449,0,0.0,0.0,0,0,0,0,0,0,176,0,0,1,1,0,9,2007,129850
80,1993,902301130,70,1,35.0,4571,4,2,4,3,5,7,1910,1950,0.0,3,3,3,3,1,4,168.0,1,0.0,448.0,616.0,5,2,4,616,616,0,1232,0.0,0.0,1,0,3,1,3,6,4,0,1,1920.0,1,2.0,480.0,1,2,2,280,0,143,0,0,0,1,1,0,6,2007,114000
81,367,527214050,20,3,63.0,17423,3,2,4,3,9,5,2008,2009,748.0,5,3,5,3,1,6,1904.0,1,0.0,312.0,2216.0,5,2,4,2234,0,0,2234,1.0,0.0,2,0,1,1,5,9,4,1,4,2009.0,3,3.0,1166.0,3,3,2,0,60,0,0,0,0,1,1,0,7,2009,501837
82,1309,902300215,50,1,100.0,12665,3,2,4,3,5,8,1915,1950,0.0,3,3,3,3,2,1,0.0,1,0.0,876.0,876.0,4,2,4,876,540,0,1416,0.0,0.0,1,1,4,1,3,7,4,1,4,1949.0,1,3.0,720.0,1,3,2,418,0,194,0,0,0,1,1,0,6,2008,153900
83,402,527425110,20,3,60.0,9000,4,2,4,3,4,7,1971,2006,0.0,3,4,3,3,1,5,240.0,1,0.0,624.0,864.0,4,2,4,864,0,0,864,0.0,0.0,1,0,3,1,3,5,4,0,1,1986.0,1,2.0,576.0,1,3,2,200,0,0,0,0,0,1,2,0,7,2009,130000
84,1592,923203140,120,1,32.0,4500,4,2,4,3,6,5,1997,1997,197.0,3,3,5,3,1,6,864.0,1,0.0,325.0,1189.0,5,2,4,1189,0,0,1189,1.0,0.0,2,0,2,1,3,4,4,0,1,1997.0,2,2.0,392.0,2,3,2,0,122,0,0,0,0,1,1,0,4,2008,160500
85,2409,528186110,120,3,48.0,6373,4,2,4,3,9,5,2006,2006,572.0,5,3,5,4,1,6,415.0,1,0.0,1251.0,1666.0,5,2,4,1666,0,0,1666,1.0,0.0,2,0,2,1,4,6,4,1,4,2006.0,2,2.0,575.0,2,3,2,228,75,0,0,0,0,1,1,0,6,2006,310090
86,539,531371050,20,3,67.0,10083,4,2,4,3,7,5,2003,2003,0.0,4,3,4,3,1,6,833.0,1,0.0,343.0,1176.0,5,2,4,1200,0,0,1200,1.0,0.0,2,0,2,1,4,5,4,0,1,2003.0,2,2.0,555.0,2,3,2,0,41,0,0,0,0,1,1,0,8,2009,184900
